AÑ;PERIODO;FECHA DE EMISION;FECHA DE VENCIMIENTO;CODIGO DE CLIENTE;CLIENTE;Indicador;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE  CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;TIPO DE PAGO;CONDICION DE PAGO;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;VENDEDORES
2024;2024-04;15/04/2024;15/04/2024;20604011397;EL GANADERO GENETICS E.I.R.L.;1;FACTURA;F001-00039526;USD;3.71;148;26.64;174.64;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-04;15/04/2024;15/04/2024;20604011397;EL GANADERO GENETICS E.I.R.L.;1;FACTURA;F001-00039527;USD;3.71;4,728.28;851.09;5,579.37;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-04;16/04/2024;16/04/2024;20603770219;EM HYDRAULICS INTERNATIONAL S.A.C.;1;FACTURA;F001-00039540;USD;3.73;467.06;84.07;551.13;0;0;0;CONTADO;Contado;NOTA DE CRÉDIT;F001-00001446;USD;3.725;-467.06;-84.07;-551.13;0;0;0;KLEBER SANTA CRUZ
2024;2024-04;17/04/2024;17/04/2024;20536628038;PERUVIAN HYDRAULIC GROUP S.A.C.;1;FACTURA;F001-00039546;USD;3.76;128.56;23.14;151.7;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-04;17/04/2024;17/04/2024;20327176243;CCI AUTOPARTES SRLTDA.;1;FACTURA;F001-00039551;USD;3.76;366.14;65.91;432.05;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-04;17/04/2024;17/04/2024;20479818241;DISTRIBUCIONES AGRICOLAS CORREA E.I.R.L.;1;FACTURA;F001-00039559;USD;3.76;493.76;88.88;582.64;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JUAN JAIME
2024;2024-04;30/04/2024;30/04/2024;20601844096;INVERSIONES ECCOLA S.A.C.;1;FACTURA;F001-00039697;USD;3.73;2,501.58;450.28;2,951.86;0;0;0;CONTADO;Contado;NOTA DE CRÉDIT;F001-00001449;USD;3.734;-2,501.58;-450.28;-2,951.86;0;0;0;CRISTHIAN VEGA
2024;2024-05;6/05/2024;6/05/2024;20523467621;TECIN PERU SOCIEDAD ANONIMA CERRADA - TECIN PERU S.A.C.;1;FACTURA;F001-00039728;USD;3.73;25.5;4.59;30.09;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;7/05/2024;7/05/2024;20454012195;INTERMAC S.R.L.;1;FACTURA;F001-00039742;USD;3.73;2,121.60;381.89;2,503.49;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JOHNNY RAMOS
2024;2024-05;7/05/2024;7/05/2024;20536628038;PERUVIAN HYDRAULIC GROUP S.A.C.;1;FACTURA;F001-00039747;USD;3.73;557.26;100.31;657.57;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
